Customer Name,Review Topic,Review Body,Rating(of 5),Review date
NWE,Good Product,The design is very pretty and the sound balance is awesome. I like the bass especially. Off course the battery is trusted,4,29-12-2021
HARD,Almost Perfect pod,The Pod makes real sense But the awareness mode makes no sense bcos you can barley call it quality earphone. But with the bass mode you have a good quality Pod. .So it's better to leave it at it is and use it like that on bass mode,4,29-12-2021
ephine,oraimo freepods,"Well ear fitting aside that
 it's ok",4,29-12-2021
ULFATAI,good product,"The sound is good and it matches the video, it doesn't lag",4,29-12-2021
ne Briggs-Kamara,it's good,"It sounds great, However it falls out of the ear which is quite disappointing. Another disappointing surprise is that you can't put it off or on from the airpods, you have to return it to the case. Sound quality is good and the noise canceling work well too.",4,29-12-2021
la,Good,Exactly what I ordered,4,29-12-2021
iong,I like it,"Really good. Quality sound.
Just that the rubber tips start to hurt my ears after a long while of usage, and I’m using the small size.",5,29-12-2021
NCE,perfect,It's just as I expected it,5,29-12-2021
CIOUS,Nice,Nice sound,5,29-12-2021
itope Samuel,A great replacement over the freepods 2 but ...,"I have both the freepods 2 & 3 2Baba. The Freepods 3 is a superb upgrade from the 2. 

Though the 3 lacks enough bass for music. I'm not an audiophile, but I enjoy my music, and the lack of bass it's obvious. 

The Freepods 3 shines through with it's connectivity. 

Calls are clear, and the latency is very impressive compared to Freepods 2. 

For me, Freepods 2 is a lot lighter and comfortable to wear for long periods of time. The Freepods begin to become uncomfortable after a few hours.",5,29-12-2021
id,nice,There is a great improvement from the last edition. The comfort and sound quality is so nice.,5,29-12-2021
DRACK,I love it,Great product,5,29-12-2021
MED,I love it. Very sleek,"Looks smart, with a great sound",5,29-12-2021
tayo,awesome,"Delivered as seen 
Enjoying my music",5,29-12-2021
liam Kingdom Knight,I love it,I’ve been looking for an affordable and comfortable earbud. Invested so much on different types until I found this. This output is perfect with great noise cancellation. I do wear this for hours with ease.,5,29-12-2021
whara,I like it,Good product,5,29-12-2021
BADE,Great,Love it,5,29-12-2021
ai Ishaku,Best quality ever,Is very nice ???? am enjoying it and i will still buy another one because the product is the best amongst the best,5,29-12-2021
al,I love it,It worth the money. I guess money well spent,5,29-12-2021
kan,Top tier product!,"This is a top-class product. The bluetooth range is just as described. I could go away from my phone as far as tens of metres away, with doors closed, yet the production is steady. The bass mode is great. The call quality, even in super noisy environs, is smooth and clear.

It is absolutely worth every penny!",5,29-12-2021
pitan,Very good,Battery is very strong,5,29-12-2021
AMMAD SAAD,How good is this product pb,"I’m happy with it so far
Better than AirPods 2",5,29-12-2021
nis,FreePods-3,"This product is just simply amazing

Only Apple product has achieved this feat and Oraimo showed that perfection can redefined.

Amazing ????",5,29-12-2021
AEL,I love it,The bass is fireeee ????.. Good stuff,5,29-12-2021
ranwei,The delivery was quick,The ear buds were perfect,5,29-12-2021
E,Battery last so.long,This product is amazing,5,29-12-2021
a Okpugo,It’s okay,It’s okay but it’s so unfortunate that’s one of the EarPods came out of my ear and fell down on the road Nd got broken,5,29-12-2021
amaka,I like it,I love it ...the base and product is ok...I hope it lasts too,5,29-12-2021
hony,I like it,Good battery life,4,29-12-2021
uf,ok,Perfect,3,24-12-2021
iah,I like it,"It has good quality sound, plus heavy bass.",4,24-12-2021
,I love it,Mad base.. Long lasting battery too,4,24-12-2021
hua,Excellent battery life,"This pods are awesome, the battery never dies..... Excellent product glad I bought it",4,24-12-2021
eline,excellent,The bass and battery capacity,5,24-12-2021
e,good to yse,Awesome,5,24-12-2021
hael,I love it,It’s very comfortable and of good quality,5,24-12-2021
demi Tosin,Not bad,"Play ,pause and next  sensors could be better 
Overall nice battery",5,24-12-2021
liams,beautiful,Awesome sound,5,24-12-2021
lezeye,i love it,"I love the the sound quality, the bass , and also the battary life",5,24-12-2021
OH,Awesome Freepods.3,This product is super awesome and durable quality sound,5,24-12-2021
ola Peters,Free pods 3 review,It’s really nice????,5,24-12-2021
h,Great,"Great sound, lasts long",5,24-12-2021
su Oluomachi celine,Works fine,Got it for a friend and he loves it,5,24-12-2021
ntBless,My Review,Packaging and quality.,5,24-12-2021
ITAYO,Too bad,After one week of usage the left earpod refused to charge,2,24-12-2021
NTAYO,Bad product,"The product is not responding to touch when picking calls or using it to next music,and most time if am talking to someone on phone the hardly hear me well I regret buying there better product like edifier , and qcy",1,23-12-2021
i-kay,Great Product,"The sound is Superb truth be Told. But I am scared it may fall off my hear because the hold firm and assuring. Also the touch sensor hasn't been perfected, but the Output is Highly impressive for the Price",4,23-12-2021
oola,Solid Bass,"I was surprised when I saw the ad. I thought 8hrs with great sound quality was a lie. But let me tell you, this Freepods meet all the advertisement hype. It is worth spending your money on.",5,23-12-2021
sifreke Okoh,Nice sound,I love it and the bass is awesome,5,23-12-2021
n,Perfect,"For the first time, I enjoyed what I ordered from jumia, FreePods-3 is the best earpod with perfect sound and nice package design, infact you'll fall in love with the pack even before you open it. I strongly recommend this to any and every one. I promise you'll enjoy it.",5,23-12-2021
ne,nice,The sound is good,5,23-12-2021
,Mr,It's just perfect,5,23-12-2021
 Adeyemi,Should improve on firmness on the ear,I like the fact that you can pause and play while it’s on your ear and also it can play while on the case.. but it falls off my ear easily,3,22-12-2021
n,oraimo,It's best pod with the price,4,22-12-2021
ulmajeed,Recommend,The pod is heavenly. You hear every lyric and every instrument from beats clearly. I am glad I bought it.,5,22-12-2021
a,Correct,It's perfect,5,22-12-2021
dubem,I love it,The bass is cool and it is easier to answer calls than pod2. The only downside is that it pains the ear when it stays for long,5,22-12-2021
ammed,make sense,Make sense,5,22-12-2021
TH,top notch,Easy function,5,22-12-2021
ar,It's cool,I recommend,5,22-12-2021
our john,Best,Top quality,5,21-12-2021
feek,The battery is reliable,"I've been using this for about 7days and I can say that the battery is cool. However, I seem to be having some challenges with the mouthpiece when I'm making/receiving calls, as I need to repeat myself in some cases before the other person can hear me.",4,21-12-2021
in,I like it,Good product,5,21-12-2021
ment Peter,satisfactory,Nice product,5,21-12-2021
FREY,my order,It's jst what I ordered I saw ????????,5,21-12-2021
gha,Not impressed,I think it's still a work in progress. The left ear disconnects abruptly.,3,20-12-2021
doja Ayorogba,Excellent,It’s doesn’t feet in my ears,4,20-12-2021
u,Product revie,The earbuds works perfectly and I would recommend for others to use. Just not compatible with kinda of earholes. A variety of white would be much appreciated.,4,20-12-2021
echi,Unbelievable,Unbelievable performance. Bass was like nothing before. Big upgrade from the old version,5,20-12-2021
EED ADEBAYO,Freepod3,Make sense,5,20-12-2021
YEMI,Exquisite,The Earbuds are just super amazing..,5,20-12-2021
nce Oladele Kabiru,Nice,Is fine,5,20-12-2021
ka,Free pod,"Battery last long and great sound, I love it",5,20-12-2021
odun,oraimo,dope and long lasting,5,20-12-2021
zabeth,is perfect,Perfect,5,20-12-2021
nga,Oraimo freepod 3,Breathtaking,5,20-12-2021
uq,Like it,Good sound but the power pack is behaving somehow. The light in the middle is very dim while others are bright,4,20-12-2021
hael Oparah,Earbud,More adaptable to ear not to allow frequent fall off,4,20-12-2021
borume Tega,Nice,I love it,5,20-12-2021
NY ADEBAYO,Works well,"The sound is very decent for the price point. The bass is good, vocals of artistes is clear, not as crisp as I would want it but expected for this price point. The biggest win is with calls, the receiver can hear you clearly even when your voice is low. A good buy!",5,20-12-2021
ens,Wonderful,"The sound quality is great,apart from a small discomfort  in the ear.",5,20-12-2021
ammad Bashir,I love it,Best you can get,5,20-12-2021
bola Wealth,❤️❤️❤️,Working perfectly and that battery also last,5,20-12-2021
tayo,Breathtaking,"Everything about this bud is taintlessly beautiful, I pray it lasts long, so I can continue to advertise it to fam.",5,20-12-2021
kwuma Okoye,Very nice product,Keep doing the good,5,20-12-2021
dom,awesome at its peak.,This earpiece is gives me so much value than it is actually worth. It's sound is so refined and balanced. It's a must buy for every music lover!,5,20-12-2021
,best,I love it????,5,20-12-2021
TUS,Awesome,"Awesome bass.. 
Very quick connectivity
Lasting battery",5,20-12-2021
kley,quality service from oraimo,durable battery and best sound its a good buy quality service from oraimo,5,20-12-2021
atunde,Excellent Bass,"Excellent bass, quality products",5,19-12-2021
ME,not really impressed,"The device sometimes have difficulty of people hearing me when on calls
The left ear is now making noise as if the speaker is bad
Finally when playing music after sometimes it will be disconnecting and connecting back
U only enjoy the bass when u are in an environment where their is no noise
I only enjoyed it the first 2 weeks of purchase",2,17-12-2021
OME,Worth the price,"Nice battery, good sound.",4,17-12-2021
phen,The eartips make my ears hurt,"The Product is really good, the sound quality is nice, its sleek and portable. but the size of the eartips isn't okay, it hurts my ears despite changing the eartips to the smallest ones. I also think it should be customizable, we should be able to configure the earbuds to our taste. I personally think a double tap on the right ear should change it to the next song instead of pausing it, if I could have been able to change that, it would have been great. Great product oraimo, keep getting better!⚡",4,17-12-2021
dex,I love it,The design and other things mentioned  in the ad for this product is just as described. Amazing bass and goo sound quality,5,17-12-2021
anuel,Good.but...,"ONE MONTH REVIEW...So, while the Earpods are durable and the bass is great I think they need to look into the quality of the connectivity,  says its 10m but often time behaves like 3m span. Every other  thing is good",5,17-12-2021
ho,Good product,"Good product, loud and noise reduction",5,17-12-2021
 SELEIPIRI,I Love the Oraimo Wireless Earbuds,"The Earbuds are very good, fits perfectly into both ears giving good Quality Sounds, the Voice is clear during Phone calls",5,17-12-2021
x,I like it,Very good,5,17-12-2021
tice,love it,Really great product. Bass was awesome.,5,17-12-2021
mas,Mr,"Very nice, and audible",5,17-12-2021
old,Nice product,Great sound. Great battery life,5,17-12-2021
es,i love this oraima product,I love welcome voice and the feel I get when listening to music and making calls,5,17-12-2021
Mena,Best,I luv d bass,5,17-12-2021
kayode,I like it,The product was delivered intact and it's been very useful for me,5,17-12-2021
AD,I really love ❤️ it ???? ????????????,"Exactly what i Order, it’s very good ???????? I’m enjoying it the battery last long ????????????????",5,17-12-2021
dele,Nice,Nice Bass,5,17-12-2021
med,I love it,"Have been enjoying my freepods since the Day of purchase, great sound and no issue eversince",5,17-12-2021
drick,Over rated,"Honestly, this product is overrate. I have a regular ear pod that  I got for 4k and there is no difference comparing both.",2,16-12-2021
dil,It’s very nice,It’s worth the buy,4,16-12-2021
rogbin Funmilayo Grace,Very good ptoducy,It’s okay,5,16-12-2021
UOLUWAPO,Good quality,Nice product. Just painful to my ear.,5,16-12-2021
,best earbuds,The sound and battery life is perfect,5,16-12-2021
u Daniel,Improve the case,Case not functioning correctly must be plugged before buds connect,3,15-12-2021
ghter,awesome,Smaller muffs,4,15-12-2021
okhan,nice,Good sound,5,15-12-2021
nelo Donatus chinedu,Master,Very very good excellent.,5,15-12-2021
hrenzz,Oraimo FreePods-3?,SOLID!,5,15-12-2021
A,good,Nice sound,5,15-12-2021
zzy,Earbud,"Nice quality for the amount.
Great bass.",5,15-12-2021
OHA,nice bass,Perfect bass... However can get painful when worn for long...,4,14-12-2021
frey,It’s nice,It’s a good quality,5,14-12-2021
id,nice,The bass was nice.,5,14-12-2021
a,Good Product,Range and loudness,5,14-12-2021
labi,Super love it,It’s cool,5,14-12-2021
zy,I love the product.,Beautiful.,5,14-12-2021
nifer,Excellent,"Highly recommend 
????",5,14-12-2021
 N/D,Very satisfied customer,This product is superb ✈️????????,5,14-12-2021
diebere,super good,Super good,5,14-12-2021
runtele nurudeen,Perfect,"Good pod with a lasting battery. Works well with my iPhone,  oraimo  really got this right. Weldone guys",5,14-12-2021
HIA,Awesome,Awesome,5,14-12-2021
nlami Sikiru,Delivery successfully,Working perfectly,5,14-12-2021
chi,I love it,Product is topnotch ????,5,13-12-2021
ASOMWAN EFOSA,Pods,I like the sound,4,13-12-2021
eon,the sound,Very great sound,5,13-12-2021
id oshoke,Met my expectations,"I love it, it's great!",5,13-12-2021
AEL Olong,Oraimo pods 3 2baba edition,Insanely Outstanding performance. An earbud to be proud of. It's Worth every penny,5,13-12-2021
oluwa Emmanuel,I Love it.,"It makes a lot of sense, although the noise cancellation does not work perfectly as I expected but it's still a lot better.",5,13-12-2021
day,oraimo earpud,Spot on,5,13-12-2021
vis Etim,Free pods 3,It’s ????,5,13-12-2021
LABI ADEDAMOLA,Not working as much as I expect.,"I dnt think the active noise cancellation is working, as the Bluetooth doesn’t filter noise as  I thought, and mouth piece doesn’t pick sound as it shuld.",2,13-12-2021
E,The left EarPod is not working,I noticed that the left ear of the device is not coming on even as the casing is fully charged.,3,13-12-2021
AHUDEEN,I likes,The freepods-3 2baba is giving me joy... its a boom sha sha,4,13-12-2021
tor,Neat,Unbelievable sound quality,5,13-12-2021
F,Hmmm!!! ????,"Well, after some usage for a month now, the Pod 3 beats my presumption from the battery life to the sounds(beats) to the packaging and the rage it covers even the designs and clarity while making calls, and my favorite parts are the packaging, design and sounds output while the ear tips are on BUT they’re sets back which I find as a big deal and got me wondering (1) You have to manually select it to the pod during calls including incoming calls which doesn’t make it totally wireless because I have to bring out my phone (2) lately they’re breaks in transmission while usage(music) for a second or two which i find annoying at times. However the Oraimo pod 3 is a nice purchase!",5,13-12-2021
nda Dasola,I use an iPhone 11 promax,"Nothing, I love it so much,it went well with my phone,no issues,bass is top notch and awareness mode is great too.",5,13-12-2021
EKACHI,oraimo freepods,"The bass is something else. Very nice

The bass is something else. Very good
????",5,13-12-2021
k,I so much love it,Best buy,5,13-12-2021
nbosco,ORAIMO FREE PODS 3,This is the best earbuds I have gotten so far.. Long lasting battering life. Very sleek on the ears,5,13-12-2021
ry,sound and beauty,"The sound quality is top notch, and it's beautiful",5,13-12-2021
ry,nice,Good sound quality,5,13-12-2021
BLESS,simply awesome,It's bassy sound and easy connectability,5,13-12-2021
mise,Exactly what i expected,Super fast delivery,5,12/12/2021
ry,Good product (Oraimo)????,The battery life and the bass are very good,5,10/12/2021
ar,I don't like it,The earbuds keeps twitching,2,10/12/2021
gbo,Battery not lasting as much as advertised.,"The left ear pud trips off before the right ear. 
The ear pud last an average 4 hours 30 mins.",3,10/12/2021
ata,Great bass,The adverts don't lie.,5,10/12/2021
NE DANIEL,Great,"Great sound, cool when used for calls, long lasting battery",5,10/12/2021
EPH NWAOKENNEYA,Good sound,Good sound definition overall,4,10/12/2021
oma Iroegbu,Good product,It’s been good so far ….this is my first time using an oraimo product too so it’s good,4,10/12/2021
bami,mr,"It's perfect and all that ,but I can't sleep with it",4,10/12/2021
rge,Overall Good buy,"The sound quality is 11/10. Very good. But the buds still have its faults. First of all, the silicon tips on the buds sometimes slip out but they can be swapped with smaller ones that come in the box.

Secondly, the touch sensors are a bit too sensitive , so things start happening without your intention.

Other than that , it’s still very solid.",4,10/12/2021
hua,Great.,Good Product.,4,10/12/2021
ima,lite,Excellent,5,10/12/2021
wan,It's fire,"It's solid

It's solid",5,10/12/2021
ENETHOME SPLENDOR,Great,Excellent,5,10/12/2021
idele,I like it,Works well so far,5,10/12/2021
TUS,battery last long,Battery lasts long and it's very convenient,5,10/12/2021
VWERHEN,Good buy.,Very strong battery and nice sound.,5,10/12/2021
NBISI,I love it!,It is so lovely,5,10/12/2021
TT,Freepods,Original sound and quality,5,10/12/2021
ainah Abubakri,Good product,It’s a very good product which worth the price,5,10/12/2021
ka,I like it,Wow.... Just the Best,5,10/12/2021
spero,Good,Very well working,5,10/12/2021
ENTED JERRY,The sound and the distans is wonderful,"FreePods 3 is the best earpod I have ever used, the sound is powerful and the Package is Amazing",5,10/12/2021
,Love it!,"Nice quality, amazing sound and very good battery life. Great value for money .",5,10/12/2021
goziri,Top notch quality,The second one I'm buying... Top notch quality as usual.,5,10/12/2021
hony Okache,I love it,The quality is okay,5,10/12/2021
edict,just ok,The bass is ok for the price,5,10/12/2021
rick,The sound is great,The battery life is top notch. One pod fell into water a few days after I got them. It still works like a charm.,5,10/12/2021
uf,nice,nice product,5,10/12/2021
tapha,its ok,D beat,5,10/12/2021
ya,best,Best product ever,5,10/12/2021
ka Kingsley,loved it,Great Product. and Amazing stereo. but lack the power on functionality which i have to put it back into the case.,5,10/12/2021
dengbe,perfect,"This is the second time am buying, but can't figure how to increase and decrease the volume",5,10/12/2021
anuel,I didn't enjoy it for a week,"After a week of purchase, one of the ear isn't working.
The one that doesn't work today will work tomorrow and vise versa versa... Stopped using it",1,9/12/2021
hua,very good,"it has so much bass, and sound quality is good too. I won't advise to wear for too long as it causes ear ache",4,9/12/2021
n Blaise,Probably an upgrade of the older version.,"But it should have an app to control and set the ear pod. Eg to set the audio volume , to set the bass , to change song or to do other stuff... But the air bud is good and superb.",4,9/12/2021
iel,I like it,"Nice sound. Very light, but not prone to very rapid head motions or the bluetooth will disengage.",4,9/12/2021
CY,I like it,Good product. though I need to reset my bass if that's a thing. bought one for my hubby too and he likes it,4,9/12/2021
bola Olagbemi,Great,It’s okay,5,9/12/2021
k sarki,Excellent product,I think the product meets requirement.,5,9/12/2021
DARA OMODARA,Great,Very good,5,9/12/2021
aculous,the sound is cool,Working perfectly,5,9/12/2021
deji,Perfect,I love the bass,5,9/12/2021
,clean bass,I enjoyed it,5,9/12/2021
l,Fantastic product.,Battery life is good. Fitting in nice. Sound is dope. Bang for my bucks.,5,9/12/2021
ofor,Is excellent,"The sound is out of this world, with perfect bass, I love! love!! love it",5,9/12/2021
ncis,I like it,It works well. Satisfied with the output.,5,9/12/2021
KOYA,Brand is Inefficient,"The device keeps disconnecting from my phone irrespective of the distance from my phone (even when I have my phone right in my pocket).
The brand is inefficient",2,8/12/2021
USI,Call,I can hear clearly when receiving or making calls but most times the person on the other end can't hear me at all,3,8/12/2021
oji,freepod 3,Not as good as the free pod 2 pro.,3,8/12/2021
a Halle,Wireless Stereo Earbuds,"Good as expected
But works poorly on iPhone",3,8/12/2021
our,Nice,Very nice,5,8/12/2021
i,Air pod,I really like it seriously,5,8/12/2021
LY,its a good Earbud,Nice sound,5,8/12/2021
iu Hassan,Awesome,"It worth every kobo spent on it. 
The mic is good.
The battery life is awesome.
The Bass is nice.",5,8/12/2021
ah,Original,Very good and fast delivery ☺️,5,8/12/2021
anuel,Nice product,Overall great product,5,8/12/2021
gsley,lovely,It's unique in every way,5,8/12/2021
rles,freepod3,"It's worth the money, sound is mad",5,8/12/2021
,oraimo,"Is working fine  it sounds laundry and clearly, I really like it and and am enjoying it.",5,8/12/2021
airu,Worthy buy,"This product is everything they described it to be and more, the bass on this piece is an upgrade on the freepods 2 for sure, i charged the case the day I received it and it was  5days later before i had to charge again, aside the pain you feel after a long time of having the pods on, its almost perfect.
Though i barely use both pods at the same time, maybe that's why it could stay for up to 5days before dropping to one bar on the case. ????",5,8/12/2021
cy,Oraimo FreePods-3 2Baba Edition,The bass mode,5,8/12/2021
dotun,Perfect,"Feels good, sounds good, looks good. Good for the price",5,8/12/2021
WUMI,Beautiful experience so far,Only wish I can control the volume on the pods without touching my phone or other device,4,7/12/2021
nayo,its nice,Sound is top notch,4,7/12/2021
entine Agbaka,It’s a good product,It’s sounds well,4,7/12/2021
N,nice,It's nice though I have not used it,4,7/12/2021
chukwu Nwakanma,Good,Works well,5,7/12/2021
SON,awesome,"This item is awesome,  an upgrade to 2,this 3 is the bomb",5,7/12/2021
chukwu Ogwuadi,I like it,Nice product,5,7/12/2021
radenu,I love it,I love the product,5,7/12/2021
O,Good quality for the price.,Love that bass! Great range. Would have preferred a feminine voice saying 'connected',5,7/12/2021
id Nnabuife,Perfect product,"Best freepods so far
If you’re considering getting this, go ahead",5,7/12/2021
DIMEJI ABIODUN,Good,It make sense. Toms up,5,7/12/2021
t,Worth it,I'll recommend this product,5,7/12/2021
fowoshe,Ola,It's a great product,5,7/12/2021
CILINA,Great sound,"The sound is superb, when I'm on call the person hears me perfectly. Oraimo is the best I have ever used . WELDON ORAIMO......I'M HAPPY CUS I GOT EXACTLY WHAT I PAID FOR",5,7/12/2021
jamin,The bass sound,I love your product,5,7/12/2021
azuwa,Love this.,Good sound and long lasting battery life,5,7/12/2021
ammed,Sound,Sound is so good no,5,7/12/2021
ick,Love it.,"The bass mode is so so incredible.
 Very loud also.  Just what i was looking for.",5,7/12/2021
OHWO,i like the sound quality,The right eye free pods doesn't fit into my right ear other than that it's great,4,7/12/2021
nus najimdeen,pros,"It last long and strong, it has fell from me like 3x and it still works perfectly although it can be improved",4,7/12/2021
wale Peter,Great,Mad ????????????,5,7/12/2021
ISTIAN,Nice Airpod,Long lasting battery life,5,7/12/2021
kwendu,very good,"The sound is just like a home theatre, very clear. Enough bass. The battery lasts very long. Kudos to Oraimo for this wonderful product!",5,7/12/2021
bisi,Working perfectly,Came earlier than the said date. Thanks,5,7/12/2021
edeth,I.k,It's a very nice pod,5,7/12/2021
afor christian,Great product,It’s perfect,5,7/12/2021
fianjayd,I love this!,Maximum satisfaction at the right price,5,7/12/2021
atunde,I like it,This is exactly what I wanted,5,7/12/2021
nley Williams,A GOOD PRODUCT.,"It gave me all I ever wanted…
Nice bass and good quality",5,7/12/2021
gstun,Great,Strong,5,7/12/2021
tapha,Not working properly,"The 2 pairs didn't work at the same time,",1,7/12/2021
enna,its ok but needs improvement,"The noise cancelation needs to be improved, most time I have to shout for the person at the other end to ear me.",3,6/12/2021
ahim,good,It works perfectly,5,6/12/2021
aulay,I love it,Everything and more just dont drop it!,5,6/12/2021
watosin,perfectly ok,Working perfectly,5,6/12/2021
odun,Oraimo AirPod,The best product of ever,5,6/12/2021
uroti,Oraimo free pods,Really makes sense.  Honestly.  Battery very good. Sound very good. Will continue to purchase oraimo products.,5,6/12/2021
N,I love it,Oraimo on point,5,6/12/2021
tor,Excellent,Excellent sound,5,6/12/2021
cy,Nice sounds,I made a good investment,5,6/12/2021
UEL,Food value for money,It's good enough,4,6/12/2021
,Very Good Pod,It's sound is great but it's latency while playing games is to high when makes it bad for gaming but minus that it's very okay,4,6/12/2021
,no complaints at all,Worth the money,5,6/12/2021
ULLAHI SULEIMAN,Great,Need to be more ear friendly,5,6/12/2021
THIA,the best,The Bass is everything,5,6/12/2021
adana,Nice earpod,I really love it????????,5,6/12/2021
anu,the sound,Is nice,5,6/12/2021
hua,best out there,Everything,5,6/12/2021
mide,Bass and noise cancellation is okay,It's perfect for the price,5,6/12/2021
ANUEL,Good Product,I love it,5,6/12/2021
BE,love the bass,Love the bass and the battery last for a long time,5,6/12/2021
LINGTON,awsome product,Great sound,5,6/12/2021
YINKA,Just as advertised,"It's perfect, I love it's noise cancellation and the battery last long, now I can enjoy my music and my movies.",5,6/12/2021
AEL,It Skips too often,"Once I put my phone in my pockets and I am connected to the FreePods, it begins to skip whatever is playing and it is very annoying",2,6/12/2021
ry,Faulty Touch sensor,"The touch sensor is not working at all. Very difficult to use compared to other cheaper buds... Jumia is probably not gonna display this review but believe me, this product is overhyped.",3,6/12/2021
nze,It's not a total noise canceling system,The bass is good but not totally a noise canceling system,3,6/12/2021
M IME-ESSIEN,It’s alright,It’s alright,4,6/12/2021
wale,Great sound,It has a great sound and voice clarity. I don't need to shout before they can hear me.,4,6/12/2021
UEL,Awesome,Punchy bass but expected more functionality,4,6/12/2021
MDI,still testing,Okay for the price,4,6/12/2021
ssing,Oraimo the Best 100%,Perfect!!!!,5,6/12/2021
gai Ralph,Amazing,"The sounds that come out of it is amazing,you hear the beats and vocals very well.  Damn!!! I recommend you get yours now???????? But I suggest Oriamo developes an app for EQ",5,6/12/2021
iet,that its original,Original,5,6/12/2021
be Bassey,I love it,Perfect,5,6/12/2021
,good,very nice product,5,6/12/2021
ly,its so nice,Battery ???? is very strong.,5,6/12/2021
IEL CHIME,Awesome,"Its awesome 
Even for iphones

But you guys really need to get a pouch for it",5,6/12/2021
ammed,Legit,Worth the hype,5,6/12/2021
ed,Classy,Class of ipods????... Sound is great,5,6/12/2021
gbesola Abiola,Late delivery,Took 5 days to be delivered but I think it’s worth it. My ear wan tear from the bass ❤️,5,3/12/2021
diran,It arrived fast,No issues at all,5,3/12/2021
tuoma,Good,I've used this for the past 3 days and i can say it's really good. It serves my purpose for buying it fully,4,3/12/2021
piness Williams,The Bass,Bass is quite low....,3,3/12/2021
anyi,Bud size,The buds seem to be too big and that doesn't make it very comfy in the ear,3,3/12/2021
mykeys,Ambient sound regulator,It's ok buh that call and voice thing is not working well with the ambient sounds which needs to be fixed ASAP,3,3/12/2021
oroborie,Amazing,Really amazing,4,3/12/2021
rin abdullahI,Better,Superb,4,3/12/2021
WO,it's cool,It's ok,4,3/12/2021
na,I like it.,"Great bass. Good sound. Battery lasts well. Oraimo freepods 3 could be better tho... Wish the touch sensitivity could be better too. I picked a call once, and the sound refused to come up, I wasn't heard until I disconnected and connected again.",4,3/12/2021
boss,good brand.,"I trust oraimo 95%
????????????",4,3/12/2021
nna,I like it,It’s cool,4,3/12/2021
ald ojimadu,I love it,Sounds nice and is comfortable,4,3/12/2021
ck,Fair for the price,"Nice one, though the ANC should be improved in subsequent models",5,3/12/2021
uel,Love it!,"As requested, sleek design, long lasting battery and bass is ????????",5,3/12/2021
be Ndubuisi,Free pods 3,Very much improved!,5,3/12/2021
,Very pleased,"Super happy with this product. This seller is tested and trusted by me. Multiple buys from them and I always get super fast delivery. Also, their products are genuine.",5,3/12/2021
ONYE,perfect,Perfect,5,3/12/2021
dom,Nice product,Simple to use,5,3/12/2021
ULRASAQ SALAUDEEN OLAMILEKAN,Great,"Great sound quality 
Excellent battery life.",5,3/12/2021
echukwu,3rd best earbud to Apple and Samsung.,This earbud's battery is quite remarkable. I haven't charged it in 3 days now and I use it more than 8hrs daily . The sound is mind blowing for those of us that like that woofer sound. Mad Basssss!,5,3/12/2021
uko,honest,"Well, using it for over a month or less, everything is perfect, but the tips are not ear compact able, the tips wear out easily and come off, I feel more comfortable using it without the tips but at the expense of good bass",5,3/12/2021
ir,awesome,so good and always reliable..,5,3/12/2021
WASEUN,Excellent,Works perfectly well,5,3/12/2021
anuella Osunde,Amazing!!,It needs to be louder,5,3/12/2021
AM,Earbuds,The sound quality is nice and the battery is top notch,5,3/12/2021
A'IL,good,The earbud is working perfectly. Wow! I love it.,5,3/12/2021
thia,Superb,Perfect,5,3/12/2021
ibema Nduka,Review on the free buds,Longer battery time,5,3/12/2021
dluck,not what i expected,It doesn't connect to more than one device at a time,2,3/12/2021
wan,faulty,The pair is no more working together after a week. One earbud works at a time,2,3/12/2021
eem,I like it,It's causing pain in the ears after about 3 hours usage...,3,3/12/2021
anuel Nwachukwu,Lovely,The product is so lovely and wonderful,4,3/12/2021
MA OKEKE,Good product,Good quality sound. And the battery last well enough. I’m still tying to get used to the awkward soft-touch call answering buttons though. Good overall,4,3/12/2021
hirat,comfortable,It's nice.,4,3/12/2021
baine gift,Small error,Sometimes even in the case is still connected’ correct that n it will be just perfect..,4,3/12/2021
lins,Make sense,The Bass 4rm this airpod na die,4,3/12/2021
torism,My expectation,Very okay with the sounds quality but false to provide Actice noise cancelling inward  and outwards,4,3/12/2021
FEMI,oraimo freepods,It works fine,4,3/12/2021
cha,Perfect,Good purchase.,5,3/12/2021
L TRIUMPH,Good,Let it connect 2 phones or more,5,3/12/2021
in,I like it,It's too notch...,5,3/12/2021
HAEL,i love it,"its has a good sound quanlity good battery life nice comfort and also affordable
ORAIMO Freepod 3
you the best",5,3/12/2021
ITH,2 baba edition,My customer loved it,5,3/12/2021
miyemi,I like it,I like it,5,3/12/2021
ustine Ebenezer,Feel so good,Too good,5,3/12/2021
e,the bazz,Its cool but it can't hold to my ears,5,3/12/2021
ogun,Its perfect,This freepod 3 na baba i reall enjoy it and the battery life is Good,5,3/12/2021
osa,I love it,"Is amazing and have great bass, am really enjoying it",5,3/12/2021
ie,Great Buds,Good Bass and Full Sound. Doesn't stay on my ears well,5,3/12/2021
ght,Superb bass,I love it,5,3/12/2021
ry,Hmm...,"I cannot explain, when you buy it you'll know.",5,2/12/2021
ka,I love it!,"So enjoying the product!

Money well spent. ✅",5,2/12/2021
,I love it,It’s a lovely product. I have no complaints at all. The sound is good and the bass is punchy.,5,1/12/2021
WADEMILADE,Missing,"Am Looking for my freepods, is there a way I can track it",5,1/12/2021
